[INFO] 2026-01-28 21:11:03,489 autoreload Watching for file changes with StatReloader
[DEBUG] 2026-01-28 21:11:03,883 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1768573766.1635935
[DEBUG] 2026-01-28 21:11:03,884 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\email\base64mime.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,884 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\enums.py first seen with mtime 1768573766.173643
[DEBUG] 2026-01-28 21:11:03,884 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\email\headerregistry.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,884 autoreload File D:\Python Journey\Python training\python-core\day27\expense_tracker\expense_tracker\urls.py first seen with mtime 1769529894.9676082
[DEBUG] 2026-01-28 21:11:03,884 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1768573763.3046775
[DEBUG] 2026-01-28 21:11:03,885 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1768573761.9078176
[DEBUG] 2026-01-28 21:11:03,885 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1769439193.8954597
[DEBUG] 2026-01-28 21:11:03,885 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\schemas\utils.py first seen with mtime 1769439193.754951
[DEBUG] 2026-01-28 21:11:03,885 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\relations.py first seen with mtime 1769439193.5985732
